customer_state,transactions,fraud_rate
AK,2963,0.016874789065136685
AL,58521,0.0047504314690453
AR,44611,0.004371119230683016
AZ,15362,0.004166124202577789
CA,80495,0.004994099012361016
CO,19766,0.005818071435798847
CT,10979,0.005100646689133801
DC,5130,0.0060428849902534115
DE,9,1.0
FL,60775,0.005495680789798437
GA,37340,0.005463310123192287
HI,3649,0.004384762948753083
IA,38804,0.005437583754252139
ID,8035,0.004107031736154325
IL,62212,0.005207998456889346
IN,39539,0.005488252105516072
KS,32939,0.0058593157047876375
KY,40981,0.005417144530392133
LA,29953,0.003772577037358528
MA,17562,0.004953877690468056
MD,37345,0.005435801312089972
ME,23433,0.005718431272137584
MI,65825,0.004542347132548424
MN,45433,0.006162921224660489
MO,54904,0.004771965612705814
MS,30021,0.0056293927584024515
MT,16806,0.004105676544091396
NC,43134,0.0045207956600361665
ND,21183,0.003965443988103668
NE,34425,0.006274509803921568
NH,11727,0.00673659077342884
NJ,35131,0.0045828470581537675
NM,23427,0.005164980577965595
NV,8058,0.005832712831968231
NY,119419,0.006112930103249902
OH,66627,0.00540321491287316
OK,38050,0.005256241787122208
OR,26408,0.007459860648288397
PA,114173,0.005009941054364867
RI,745,0.020134228187919462
SC,41731,0.0056552682657976085
SD,17574,0.005235006259246614
TN,24913,0.006382210091117087
TX,135269,0.004376464674093842
UT,15357,0.003972129973302077
VA,41756,0.006537982565379826
VT,16812,0.004282655246252677
WA,27040,0.004659763313609467
WI,41738,0.005462647946715224
WV,36529,0.003996824440855211
WY,27776,0.004284274193548387
