hour,transactions,fraud_rate
0,60655,0.013568543401203528
1,61330,0.013484428501548996
2,60796,0.0130436212908744
3,60968,0.013170843721296418
4,59938,0.0010177183089192165
5,60088,0.0013313806417254693
6,60406,0.0008939509320266199
7,60301,0.001194010049584584
8,60498,0.0009752388508711032
9,60231,0.0010127675117464429
10,60320,0.0008620689655172414
11,60170,0.0009805550939006149
12,93294,0.0009003794456235128
13,93492,0.001005433619988876
14,93089,0.0010742407803285027
15,93439,0.0010702169329723135
16,94289,0.0010287520283384065
17,93514,0.0010051970827897427
18,94052,0.0011801981882362947
19,93433,0.0011237999422045743
20,93081,0.001052846445568913
21,93738,0.001077471249653289
22,95370,0.026014469959106636
23,95902,0.02546349398344143
