merchant_category,transactions,fraud_rate
entertainment,134118,0.0021771872530160006
food_dining,130729,0.0015681294892487512
gas_transport,188029,0.004105749645001569
grocery_net,64878,0.0026973704491507137
grocery_pos,176191,0.01264536781106867
health_fitness,122553,0.0015095509697845013
home,175460,0.0015103157414795396
kids_pets,161727,0.0018797108707884274
misc_net,90654,0.013038586273082268
misc_pos,114229,0.0028188988785684895
personal_care,130085,0.0022293116039512626
shopping_net,139322,0.015927132828986088
shopping_pos,166463,0.006343752065023459
travel,57956,0.0026916971495617365
