segment_feature,segment_value,transactions,frauds,fraud_rate,minimum_support_met,pr_auc,precision,recall
merchant_category,entertainment,37919,54,0.0014240881879796408,True,0.9131532950552703,0.5666666666666667,0.9444444444444444
merchant_category,food_dining,37028,52,0.0014043426596089446,True,0.5127365032382447,0.5625,0.5192307692307693
merchant_category,gas_transport,53572,147,0.0027439707309788695,True,0.9895450065159334,0.8212290502793296,1.0
merchant_category,grocery_net,18414,40,0.002172260236776366,True,0.689993433283265,0.358695652173913,0.825
merchant_category,grocery_pos,49904,454,0.009097467136902853,True,0.995443943804785,0.9043824701195219,1.0
merchant_category,health_fitness,34628,47,0.0013572831234838858,True,0.7337333035015974,0.4111111111111111,0.7872340425531915
merchant_category,home,49459,63,0.0012737823247538364,True,0.7353412145989433,0.6075949367088608,0.7619047619047619
merchant_category,kids_pets,45909,62,0.0013504977237578687,True,0.5882228732438446,0.39285714285714285,0.7096774193548387
merchant_category,misc_net,25982,249,0.009583557847740743,True,0.9538631786864219,0.6304909560723514,0.9799196787148594
merchant_category,misc_pos,32730,68,0.0020776046440574396,True,0.6225441668583328,0.30113636363636365,0.7794117647058824
merchant_category,personal_care,37107,66,0.0017786401487589942,True,0.49178698041877683,0.31451612903225806,0.5909090909090909
merchant_category,shopping_net,39477,473,0.011981660207209262,True,0.9799608018130814,0.6578581363004172,1.0
merchant_category,shopping_pos,47094,200,0.00424682549794029,True,0.9108194219994963,0.4260869565217391,0.98
merchant_category,travel,16438,37,0.002250882102445553,True,0.482091622084395,0.4772727272727273,0.5675675675675675
amount_bucket,0-25,188104,422,0.002243439799259984,True,0.7629060508016821,0.4830508474576271,0.8104265402843602
amount_bucket,200-500,18257,538,0.029468149203045406,True,0.9720210113920236,0.7048517520215634,0.9721189591078067
amount_bucket,2000+,341,0,0.0,False,,,
amount_bucket,25-75,179981,28,0.0001555719770420211,True,0.5448893004772667,0.3409090909090909,0.5357142857142857
amount_bucket,500-2000,5375,969,0.18027906976744187,True,0.958840555507361,0.6203104786545925,0.9896800825593395
amount_bucket,75-200,133603,55,0.0004116674026780836,True,0.4470098329785693,0.4666666666666667,0.509090909090909
hour_bucket,00-05,103455,704,0.006804891015417331,True,0.9497926185013349,0.6483931947069943,0.9744318181818182
hour_bucket,06-11,102872,78,0.0007582238121160277,True,0.8271405903119915,0.3858695652173913,0.9102564102564102
